,group,name,dice,p_value
0,MG360J12,Visual1,0.032604485757543746,0.7982017982017982
1,MG360J12,Visual2,0.13669188869445198,0.6193806193806194
2,MG360J12,Somatomotor,0.11949540697525651,0.8301698301698301
3,MG360J12,CingOperc,0.1603645530347101,0.48451548451548454
4,MG360J12,DorsAttn,0.04609133755891435,0.932067932067932
5,MG360J12,Language,0.06990960525460103,0.6663336663336663
6,MG360J12,FrontPar,0.16636040101416574,0.3926073926073926
7,MG360J12,Auditory,0.06996335612557138,0.057942057942057944
8,MG360J12,Default,0.27151595433825537,0.003996003996003996
9,MG360J12,PostMulti,0.010355321924034624,0.9240759240759241
10,MG360J12,VentMulti,0.058200053185427196,0.1968031968031968
11,MG360J12,OrbitAffective,0.015870432164075854,0.5034965034965035
12,HCPICA,ICA1,0.07236271328042158,0.6453546453546454
13,HCPICA,ICA2,0.2061260699175262,0.16183816183816183
14,HCPICA,ICA3,0.11046969299396484,0.6943056943056943
15,HCPICA,ICA4,0.12653061224489795,0.7352647352647352
16,HCPICA,ICA5,0.15857252244935843,0.42957042957042957
17,HCPICA,ICA6,0.20018453885345208,0.19480519480519481
18,HCPICA,ICA7,0.09870672156817259,0.5864135864135864
19,HCPICA,ICA8,0.14403673980609547,0.6953046953046953
20,HCPICA,ICA9,0.20045185790510983,0.8451548451548452
21,HCPICA,ICA10,0.12774142096498017,0.8091908091908092
22,HCPICA,ICA11,0.20008033741715203,0.35364635364635366
23,HCPICA,ICA12,0.160805954825462,0.6883116883116883
24,HCPICA,ICA13,0.13084250166137487,0.7292707292707292
25,HCPICA,ICA14,0.17396701542826742,0.44555444555444557
26,HCPICA,ICA15,0.08071127185051236,0.6303696303696303
27,HCPICA,ICA17,0.20727805404571914,0.23076923076923078
28,HCPICA,ICA18,0.1798742626513505,0.6653346653346653
29,HCPICA,ICA19,0.27187624245491016,0.004995004995004995
30,HCPICA,ICA20,0.15764134073089092,0.5654345654345654
31,HCPICA,ICA23,0.04687654524476677,0.951048951048951
